x,y,value
153,2409,1
153,3291,1
153,4165,1
153,5038,1
153,1439,1
154,1474,1
154,2410,1
154,3292,1
154,4884,1
154,1406,1
154,3839,1
155,1475,1
155,2411,1
155,3293,1
155,4885,1
155,4318,1
155,1319,1
156,1476,1
156,2412,1
156,4008,1
156,1254,1
156,3086,1
156,4847,1
157,1477,1
157,2413,1
157,4009,1
157,1255,1
157,4550,1
157,3527,1
158,1478,1
158,2414,1
158,4010,1
158,3444,1
158,1166,1
158,4535,1
159,1479,1
159,2415,1
159,4011,1
159,3445,1
159,4918,1
159,1415,1
160,1480,1
160,2416,1
160,4012,1
160,5004,1
160,1430,1
160,3119,1
161,1481,1
161,2417,1
161,4013,1
161,5005,1
161,3598,1
161,1199,1
162,1482,1
162,2418,1
162,4728,1
162,1374,1
162,3110,1
162,4127,1
163,1483,1
163,2419,1
163,4729,1
163,1375,1
163,3830,1
163,3407,1
164,1484,1
164,2420,1
164,4730,1
164,3564,1
164,1190,1
164,3815,1
165,1485,1
165,2421,1
165,4731,1
165,3565,1
165,4198,1
165,1295,1
166,1486,1
166,2422,1
166,4732,1
166,4284,1
166,1310,1
166,3095,1
167,1487,1
167,2423,1
167,4733,1
167,4285,1
167,3478,1
167,1175,1
168,1488,1
168,3120,1
168,1104,1
168,2334,1
168,3998,1
168,5003,1
169,1489,1
169,3121,1
169,1105,1
169,2335,1
169,4718,1
169,4283,1
170,1490,1
170,3122,1
170,1106,1
170,3798,1
170,2678,1
170,4787,1
171,1491,1
171,3123,1
171,1107,1
171,3799,1
171,4964,1
171,2867,1
172,1492,1
172,3124,1
172,1108,1
172,4518,1
172,2798,1
172,4067,1
173,1493,1
173,3125,1
173,1109,1
173,4519,1
173,4244,1
173,2747,1
174,1494,1
174,3126,1
174,2568,1
174,1014,1
174,3782,1
174,4961,1
175,1495,1
175,3127,1
175,2569,1
175,1015,1
175,4502,1
175,4241,1
176,1496,1
176,3128,1
176,2570,1
176,4044,1
176,1262,1
176,4553,1
177,1497,1
177,3129,1
177,2571,1
177,4045,1
177,5014,1
177,1433,1
178,1498,1
178,3130,1
178,2572,1
178,4764,1
178,1382,1
178,3833,1
179,1499,1
179,3131,1
179,2573,1
179,4765,1
179,4294,1
179,1313,1
180,1500,1
180,3132,1
180,4128,1
180,1278,1
180,2366,1
180,4727,1
181,1501,1
181,3133,1
181,4129,1
181,1279,1
181,4556,1
181,2807,1
182,1502,1
182,3134,1
182,4130,1
182,2724,1
182,1046,1
182,4511,1
183,1503,1
183,3135,1
183,4131,1
183,2725,1
183,4798,1
183,1391,1
184,1504,1
184,3136,1
184,4132,1
184,5028,1
184,1436,1
184,2399,1
185,1505,1
185,3137,1
185,4133,1
185,5029,1
185,2878,1
